eng_title,episode_num,jp_title,show_type
Lupin the Third Part 4,24,Lupin III (2015),TV
Miss Kobayashi's Dragon Maid,13,Kobayashi-san Chi no Maid Dragon,TV
Mobile Suit Zeta Gundam,50,Kidou Senshi Zeta Gundam,TV
Jormungand Season 2: Perfect Order,12,Jormungand: Perfect Order,TV
N/A,38,Kingdom,TV
Hanasaku Iroha: Blossoms for Tomorrow,26,Hanasaku Iroha,TV
Galaxy Warring State Chronicle Rai,52,Ginga Sengoku Gunyuuden Rai,TV
N/A,1,Final Fantasy VII: Advent Children Complete,OVA
Sans Famille,23,Ie Naki Ko Remy,TV
N/A,12,Hidamari Sketch x ☆☆☆,TV
N/A,1,Date A Live II: Kurumi Star Festival,OVA
N/A,23,Ergo Proxy,TV
School Babysitters,12,Gakuen Babysitters,TV
Non Non Biyori Repeat: Hotaru Had Fun,1,Non Non Biyori Repeat: Hotaru ga Tanoshinda,OVA
N/A,1,Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,Movie
Doraemon,1787,Doraemon (1979),TV
N/A,12,Carnival Phantasm,OVA
N/A,1,Death Billiards,Movie
Darker Than Black: Gemini of the Meteor OVAs,4,Darker than Black: Kuro no Keiyakusha Gaiden,Special
Code Geass: Lelouch of the Re;surrection,1,Code Geass: Fukkatsu no Lelouch,Movie
Berserk: The Golden Age Arc II - The Battle for Doldrey,1,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Movie
Martial Universe 3rd Season,12,Wu Dong Qian Kun 3rd Season,ONA
The Prince of Tennis: The National Tournament Semifinals,6,Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal,OVA
BanG Dream! Poppin'Dream!,1,BanG Dream! Movie: Poppin' Dream!,Movie
N/A,12,Paradise Kiss,TV
The Story of Saiunkoku,39,Saiunkoku Monogatari,TV
KenIchi: The Mightiest Disciple OVA,11,Shijou Saikyou no Deshi Kenichi OVA,OVA
Big Windup!,25,Ookiku Furikabutte,TV
Initial D Legend 3: Dream,1,New Initial D Movie: Legend 3 - Mugen,Movie
Higurashi: When They Cry,26,Higurashi no Naku Koro ni,TV
JoJo's Bizarre Adventure (2012),26,JoJo no Kimyou na Bouken (TV),TV
Mobile Suit Gundam: The Witch from Mercury - Prologue,1,Kidou Senshi Gundam: Suisei no Majo - Prologue,Special
N/A,13,Zan Sayonara Zetsubou Sensei,TV
Hell Girl: Two Mirrors,26,Jigoku Shoujo Futakomori,TV
Lupin III vs. Detective Conan: The Movie,1,Lupin III vs. Meitantei Conan: The Movie,Movie
N/A,16,Kengan Ashura Season 2 Part 2,ONA
"Totto-chan, the Little Girl at the Window",1,Madogiwa no Totto-chan,Movie
Kaleido Star: Legend of Phoenix - The Layla Hamilton Story,1,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,OVA
N/A,1,One Piece Film: Gold,Movie
Case Closed Movie 22: Zero the Enforcer,1,Meitantei Conan Movie 22: Zero no Shikkounin,Movie
The Demon Girl Next Door 2,12,Machikado Mazoku: 2-choume,TV
Dear Brother,39,Oniisama e...,TV
No Doubt In Us 2nd Season,24,Liang Bu Yi 2nd Season,ONA
K-ON! Live House!,1,K-On!: Live House!,Special
K-On!!: Plan!,1,K-On!!: Keikaku!,Special
Hozuki's Coolheadedness 2: Part 2,13,Hoozuki no Reitetsu 2nd Season: Sono Ni,TV
Sound! Euphonium the Movie: May the Melody Reach You!,1,Hibike! Euphonium Movie 2: Todoketai Melody,Movie
Mobile Suit Gundam: The Witch from Mercury,12,Kidou Senshi Gundam: Suisei no Majo,TV
N/A,24,Carole & Tuesday,TV
The Girl Downstairs,22,Aishang Ta de Liyou,ONA
Free! Starting Days,1,High☆Speed! Movie: Free! Starting Days,Movie
Martial Universe 5th Season,12,Wu Dong Qian Kun 5th Season,ONA
Classroom of the Elite,12,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,TV
N/A,1,Yuru Yuri Nachuyachumi!,OVA
Attack on Titan: Crimson Bow and Arrow,1,Shingeki no Kyojin Movie 1: Guren no Yumiya,Movie
N/A,25,Tiger & Bunny,TV
A Record of Mortal's Journey to Immortality: Speeding in the Sea of Stars,4,Fanren Xiu Xian Chuan: Xinghai Feichi Pian Xuzhang,ONA
N/A,23,Urusei Yatsura (2022) 2nd Season,TV
Monthly Girls' Nozaki-kun,12,Gekkan Shoujo Nozaki-kun,TV
A Record of Mortal's Journey to Immortality Season 4,52,Fanren Xiu Xian Chuan 4th Season,ONA
N/A,1,Seitokai Yakuindomo Movie,Movie
Daily Lives of High School Boys Specials,6,Danshi Koukousei no Nichijou Specials,Special
N/A,52,Capeta,TV
